zipcode,medhome,sqfthome,rent
61734,107500,68,1130
17572,211700,129,1139
27248,87800,61,768
55733,184100,0,1381
56549,212000,0,1304
53061,113900,0,928
21874,134000,108,1185
87540,473900,0,2257
53114,148500,0,1269
17062,136900,95,1172
49088,168900,100,1223
4562,289600,200,1572
16875,194200,125,1505
21826,109500,92,1197
43154,148300,89,1258
12594,196400,148,1691
95304,541200,0,2476
47368,70300,52,736
13825,127400,86,1441
15019,121900,87,1055
2715,303700,189,1814
21531,101300,81,1102
98557,144200,103,892
11718,456500,0,3129
44428,94200,64,784
43942,85300,75,1246
64054,58200,57,750
54170,148500,0,1089
12516,212200,165,1750
21520,129400,99,1210
60606,240000,256,2013
11955,376600,0,4301
93644,221800,134,1246
47471,59700,0,722
17859,133400,89,1142
17535,211000,125,1113
18660,116400,75,1050
24065,156900,103,1175
12015,184100,117,1439
12788,114900,80,1258
7758,264700,173,2038
95470,396400,221,1332
20711,402800,216,2054
43061,229900,124,1704
20622,312200,171,1830
95663,577500,290,2130
96093,208100,0,1446
12122,93500,71,1388
95709,293000,190,1525
16052,208100,0,1556
49254,95400,74,834
37049,142300,95,1106
61568,154800,96,1237
6763,288700,189,1695
5068,187800,0,1436
2635,418300,246,2027
10973,245400,130,1918
12958,92300,64,1557
7980,424600,252,2546
7856,303300,188,2159
54499,102400,0,880
60071,179800,102,1550
86040,210100,133,1372
93675,203300,116,1259
17098,79400,48,857
44645,146200,98,1192
43071,187600,126,945
19706,151900,117,1222
45325,136500,87,1167
65770,122900,77,804
12449,154000,107,1402
14775,68000,44,971
12816,123700,80,1587
61753,136500,108,1222
98232,387800,213,1639
56065,153400,101,1254
17068,154200,95,1256
2110,937300,849,3281
96771,182800,165,1169
7021,838700,306,4308
34705,152300,93,1231
2538,220200,218,1598
47031,107000,75,903
46788,181100,101,1194
50276,143600,95,1174
32567,112700,76,971
12567,218400,148,1695
37724,103300,70,894
3887,170500,106,1545
20751,327700,225,1913
97624,154800,107,859
12775,176000,115,1500
30256,139400,80,1132
20778,429200,203,2220
14062,85400,57,755
96055,174300,131,1044
18218,43900,30,659
6259,259800,136,1602
44452,130400,81,1106
13613,67000,49,1231
62245,130700,90,1215
75459,135300,85,1158
8036,270800,139,2004
89086,218000,93,1299
19066,625100,221,3552
3809,212200,129,1348
53044,188100,111,1235
1050,199100,133,1574
12845,259000,163,1919
17970,39400,29,640
80466,389900,258,2100
12780,161600,112,1434
32102,161900,119,1250
52336,138800,110,1150
37410,48600,42,939
46554,101500,72,803
55741,88800,93,835
14710,113200,76,1011
43719,90800,70,1321
49453,310200,197,1377
62563,172500,0,1495
61016,147200,96,1242
93285,140900,118,1084
21561,226600,169,1552
60021,207500,122,1674
40507,237700,181,1416
17065,151300,101,1125
37818,72200,58,704
1611,189000,131,1477
13084,147800,96,1503
3864,190500,108,1296
12582,298400,172,2085
19310,216500,124,1512
32358,136800,91,962
18222,146300,86,1277
1922,452800,212,2209
22625,227900,128,1414
5354,185600,0,1440
92372,237700,119,1319
8020,231500,123,1835
14739,43500,34,1252
49072,102900,0,950
38356,81200,62,774
64048,186100,122,1036
13734,103700,67,1440
63038,398400,160,2321
19504,232700,125,1506
30175,146900,98,1189
7606,327000,161,2315
33875,129800,76,1185
17023,131400,94,1149
12928,104500,75,1554
21028,318400,165,1903
13166,108900,67,1371
8562,297000,154,1904
96750,415800,271,1561
6092,348800,150,2393
55070,181800,159,1395
46070,71300,49,724
14423,121400,83,1410
12149,102900,76,1411
50225,150500,109,1122
12498,279000,185,1836
29684,84900,65,736
32420,110400,75,794
43137,149100,89,1267
44429,99000,80,922
52338,267300,156,1593
38257,64000,47,795
80535,275100,183,1580
12992,106100,73,1570
15944,111100,93,898
80654,173500,123,1387
12920,84500,57,1369
30185,102600,68,898
12871,168100,126,1401
17529,234000,133,1153
28033,96300,72,846
60145,166100,0,1394
28789,142500,95,1078
16617,98100,0,849
2646,525300,328,2341
15330,218500,128,1715
5048,228200,0,1529
74116,78900,63,934
47850,62700,44,735
75453,80700,61,1055
7460,220400,153,1754
12170,197800,138,1458
18618,142600,100,1247
19362,226000,133,1402
35143,163600,129,1221
3884,242300,145,1785
53019,162800,0,843
61534,115000,77,1108
8880,229900,176,1938
17519,216900,128,1098
24064,169200,117,1256
55003,208900,128,1505
77430,211700,115,1665
21663,393000,199,1830
78123,287800,170,1839
97883,134500,0,1065
14517,81200,49,1316
95975,326400,195,1562
31028,114100,70,958
8740,196500,160,1587
37811,119500,78,936
38641,170100,94,1420
93453,460500,322,2064
41169,100100,85,888
3467,216300,103,1400
47229,85400,68,840
97017,330600,208,1746
2030,968000,283,4034
14125,90300,63,1307
