renters_id,disasterNumber,state,county,zipCode,validRegistrations,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants
23117,1644,ME,York (County)(in MSA 6400,4073,7,7,0,0,0,1,0,0,488,1,0,0,0
23118,1649,PA,Berks (County),19526,7,6,0,0,0,3,0,1633,2743,3,0,0,0
23119,1643,NH,Strafford (County),3868,7,5,0,0,0,2,0,768,460,2,0,0,0
23120,1649,PA,Bucks (County),18933,1,1,0,0,0,1,0,792,0,1,0,0,0
23121,1642,MA,Essex (County)(in PMSA 11,1834,2,2,0,0,0,0,0,0,0,0,0,0,0
23122,1642,MA,Middlesex (County)(in (P),1867,1,1,0,0,0,0,0,0,0,0,0,0,0
23123,1643,NH,Merrimack (County),3263,1,1,0,0,0,1,0,815,0,1,0,0,0
23124,1644,ME,York (County)(in MSA 6400,4046,1,1,0,0,0,0,0,0,0,0,0,0,0
23125,1649,PA,Bucks (County),18977,3,3,0,0,0,2,0,1739,3763,2,0,0,0
23126,1649,PA,Chester (County),19335,31,24,0,0,0,14,0,2316,19844,14,0,0,0
23127,1643,NH,Strafford (County),3820,19,18,0,0,0,15,0,12306,31593,15,0,0,0
23128,1649,PA,Columbia (County),17815,138,128,0,0,0,82,0,30841,131575,82,0,0,0
23129,1649,PA,Berks (County),19611,1,1,0,0,0,1,0,0,1100,1,0,0,0
23130,1649,PA,Franklin (County),17268,1,0,0,0,0,0,0,0,0,0,0,0,0
23131,1649,PA,Dauphin (County),17103,1,1,0,0,0,1,0,0,260,1,0,0,0
23132,1649,PA,Lackawanna (County),18518,2,2,0,0,0,2,0,0,1675,2,0,0,0
23133,1649,PA,Lancaster (County),17602,1,1,0,0,0,1,0,850,4750,1,0,0,0
23134,1649,PA,Lebanon (County),17067,5,5,0,0,0,5,0,2183,10576,5,0,0,0
23135,1649,PA,Luzerne (County),18617,1,1,0,0,0,0,0,0,0,0,0,0,0
23136,1649,PA,Luzerne (County),18634,8,7,0,0,0,4,0,2178,0,4,0,0,0
23137,1649,PA,Luzerne (County),18655,22,19,0,0,0,11,0,5823,5523,11,0,0,0
23138,1649,PA,Northumberland (County),17866,1,1,0,0,0,1,0,0,70,1,0,0,0
23139,1649,PA,Montour (County),17820,1,0,0,0,0,0,0,0,0,0,0,0,0
23140,1649,PA,Monroe (County),18355,1,1,0,0,0,0,0,0,0,0,0,0,0
23141,1649,PA,Schuylkill (County),18237,1,1,0,0,0,1,0,0,470,1,0,0,0
23142,1649,PA,Montgomery (County),19453,1,1,0,0,0,1,0,0,5250,1,0,0,0
23143,1649,PA,Schuylkill (County),17901,4,3,0,0,0,2,0,0,1578,2,0,0,0
23144,1649,PA,Monroe (County),18320,1,1,0,0,0,0,0,0,0,0,0,0,0
23145,1649,PA,Schuylkill (County),17929,2,2,0,0,0,1,0,427,150,1,0,0,0
23146,1649,PA,Susquehanna (County),18821,21,20,0,0,0,13,0,5006,31786,12,1,0,0
23147,1649,PA,Susquehanna (County),18801,7,6,0,0,0,2,0,433,1819,2,0,0,0
23148,1649,PA,Wayne (County),18453,1,1,0,0,0,0,0,0,0,0,0,0,0
23149,1649,PA,Wyoming (County),18636,21,20,0,0,0,11,0,5039,3124,11,0,0,0
23150,1650,NY,Chenango (County),13464,1,1,0,0,0,0,0,0,0,0,0,0,0
23151,1650,NY,Broome (County),13785,1,0,0,0,0,0,0,0,0,0,0,0,0
23152,1650,NY,Broome (County),13760,91,84,0,0,0,60,0,27530,132569,57,3,0,0
23153,1650,NY,Broome (County),13833,1,1,0,0,0,0,0,0,0,0,0,0,0
23154,1650,NY,Delaware (County),13752,1,1,0,0,0,0,0,0,0,0,0,0,0
23155,1650,NY,Delaware (County),13806,3,3,0,0,0,1,0,456,0,1,0,0,0
23156,1650,NY,Chenango (County),13809,6,6,0,0,0,4,0,1767,6835,4,0,0,0
23157,1650,NY,Herkimer (County),13340,4,3,0,0,0,0,0,0,0,0,0,0,0
23158,1650,NY,Oneida (County),13440,1,1,0,0,0,0,0,0,0,0,0,0,0
23159,1650,NY,Otsego (County),13796,9,8,0,0,0,6,0,2499,25074,6,0,0,0
23160,1650,NY,Montgomery (County),12010,2,2,0,0,0,0,0,0,0,0,0,0,0
23161,1650,NY,Otsego (County),13450,1,1,0,0,0,0,0,0,0,0,0,0,0
23162,1650,NY,Schoharie (County),12149,2,1,0,0,0,0,0,0,0,0,0,0,0
23163,1650,NY,Sullivan (County),12759,1,1,0,0,0,1,0,0,550,1,0,0,0
23164,1650,NY,Tioga (County),13734,7,7,0,0,0,5,0,2783,11045,5,0,0,0
23165,1650,NY,Ulster (County),12477,1,1,0,0,0,1,0,640,0,1,0,0,0
23166,1651,OH,Cuyahoga (County),44147,5,4,0,0,0,3,0,1340,140,3,0,0,0
23167,1651,OH,Cuyahoga (County),44109,40,39,0,0,0,10,0,3398,3051,10,0,0,0
23168,1651,OH,Cuyahoga (County),44121,25,25,0,0,0,8,0,2672,4930,8,0,0,0
23169,1651,OH,Cuyahoga (County),44144,2,1,0,0,0,1,0,823,0,1,0,0,0
23170,1651,OH,Cuyahoga (County),44112,78,78,0,0,0,23,0,7078,8431,23,0,0,0
23171,1651,OH,Cuyahoga (County),44105,3,3,0,0,0,0,0,0,0,0,0,0,0
23172,1651,OH,Cuyahoga (County),44146,4,4,0,0,0,2,0,1478,1080,2,0,0,0
23173,1651,OH,Cuyahoga (County),44128,4,3,0,0,0,2,0,0,1024,2,0,0,0
23174,1651,OH,Cuyahoga (County),44120,5,5,0,0,0,1,0,0,323,1,0,0,0
23175,1651,OH,Huron (County),44851,6,5,0,0,0,3,0,1110,2215,3,0,0,0
23176,1651,OH,Lucas (County),43605,88,84,0,0,0,38,1050,7129,16708,38,0,0,0
